id	name	title	description	category
251	idr0009-simpson-secretion/screenA	Genome-wide RNAi screening identifies human proteins with a regulatory function in the early secretory pathway.	This screen uses a genome-wide library of over 51,000 small interfering RNAs (siRNAs) targeting approximately 22,000 human genes for interference with ER-to-plasma membrane transport of the well-characterized secretory cargo membrane protein tsO45G.	Screen
803	idr0009-simpson-secretion/screenB	Genome-wide RNAi screening identifies human proteins with a regulatory function in the early secretory pathway.	This validation screen focused on those 1,531 genes that caused the most significant inhibition of secretion on knockdown. Using independent siRNA sequences targeting these genes, we tested for their interference with tsO45G transport.	Screen
1351	idr0010-doil-dnadamage/screenA	RNF168 binds and amplifies ubiquitin conjugates on damaged chromosomes to allow accumulation of repair proteins.	A high-content microscopy screen for genes whose downregulation by RNA interference (RNAi) prevents accumulation of 53BP1 at the sites of DSBs.	Screen
1501	idr0011-ledesmafernandez-dad4/screenA	Protein Kinase C and the stress response pathways are required for kinetochore homeostasis.	In this screen, Synthetic Genetic Array (SGA) methodology (Tong et al, 2001) was used to combine the DAD4-YFP and SPC42-RFP alleles with the non-essential deletion collection (Winzeler et al, 1999), which includes 4746 separate viable deletion strains, to systematically assess the effect of specific mutations on the kinetochore.	Screen
1551	idr0011-ledesmafernandez-dad4/screenB	Protein Kinase C and the stress response pathways are required for kinetochore homeostasis.	This screen examines the impact of essential genes on the kinetochore, using a collection of temperature-sensitive (ts) alleles (Li et al, 2011) (1334 members, include 754 unique alleles of 475 unique ORFs). These strains were also combined with the fluorescence alleles using SGA and the resulting haploid strains were then grown for 5 hours at 37C prior to imaging.	Screen
1601	idr0011-ledesmafernandez-dad4/screenC	Protein Kinase C and the stress response pathways are required for kinetochore homeostasis.	Re-screen of non-essential mutants that did not grow in screen A.	Screen
1602	idr0011-ledesmafernandez-dad4/screenD	Protein Kinase C and the stress response pathways are required for kinetochore homeostasis.	Re-screen of essential mutants that did not grow in screen B.	Screen
1603	idr0011-ledesmafernandez-dad4/screenE	Protein Kinase C and the stress response pathways are required for kinetochore homeostasis.	Validation screen of essential mutants found to affect Dad4-YFP levels in screen B.	Screen
1202	idr0012-fuchs-cellmorph/screenA	Clustering phenotype populations by genome-wide RNAi and multiparametric imaging.	To cluster genes and predict function on a genome-wide scale, we measured the effects of 22 839 siRNA-mediated knockdowns on HeLa cells. Each siRNA effect was summarized by a phenotypic profile.	Screen
1101	idr0013-neumann-mitocheck/screenA	Phenotypic profiling of the human genome by time-lapse microscopy reveals cell division genes.	A genome-wide phenotypic profiling of each of the ~21,000 human protein-coding genes by two-day live imaging of fluorescently labelled chromosomes.	Screen
1302	idr0013-neumann-mitocheck/screenB	Phenotypic profiling of the human genome by time-lapse microscopy reveals cell division genes.	1,249 genes were identified as potential mitotic hits from the first pass genome-wide screen.To minimize the risk of reporting false positives, we carried out a second pass validation screen against 90% (1,128) of these genes with two additional independent siRNAs.	Screen
1201	idr0015-colin-taraoceans/screenA	Quantitative 3D-imaging for cell biology and ecology of environmental microbial eukaryotes.	eHCFM: a 3D-fluorescence imaging and classification tool for high throughput analysis of microbial eukaryotes in environmental samples. The method generates for each given sample a mosaic of multi-dimentional fields of view (3D, 5 channels). We propose here the exploration of raw images of plankton samples from the Tara Oceans expeditions.Version HistoryNovember 2017 - the study title, description, publication and screen name updated.	Screen
1251	idr0016-wawer-bioactivecompoundprofiling/screenA	Toward performance-diverse small-molecule libraries for cell-based phenotypic screening using multiplexed high-dimensional profiling.	Using the cell-painting assay developed by Gustafsdottir et al, 2013, the Broad Institute has assembled a reference dataset of profiles for U2OS osteosarcoma cells treated with ~30,000 compounds. The experiment consisted of 413 microtiter plates. Each plate has 384 wells. Each well has 6 fields of view; a very small fraction of the wells (0.002%) have a few sites missing. Each field was imaged in five channels (detection wavelengths), and each channel is stored as a separate, grayscale 16-bit TIFF image file.Version HistoryIn August 2017 the 20 plates from the Broad Bioimaging Benchmark Collection dataset BBBC022 were moved to a separate screen, idr0036/screenA. At the same time 58 new plates, which had become available from the Cell Image Library (http://www.cellimagelibrary.org/pages/project_20269) after the original import to idr0016, were added to idr0016 and annotation was added to plate 25723 (https://idr.openmicroscopy.org/webclient/?show=plate-5104) which was previously unannotated. Protocols have been updated to reflect the materials and methods information in Wawer et al 2014.	Screen
1151	idr0017-breinig-drugscreen/screenA	A chemical-genetic interaction map of small molecules using high-throughput imaging in cancer cells.	We used high-content screening and image analysis to measure effects of 1280 pharmacologically active compounds on complex phenotypes in isogenic cancer cell lines which harbor activating or inactivating mutations in key oncogenic signaling pathways. Using multiparametric chemical-genetic interaction analysis, we measured 300,000 drug-gene-phenotype interactions and observed phenotypic gene-drug interactions for more than 193 compounds, with many affecting phenotypes other than cell growth.	Screen
1203	idr0019-sero-nfkappab/screenA	Cell shape and the microenvironment regulate   nuclear translocation of NF-κB in breast epithelial   and tumor cells.	High Content Analysis was used to quantitatively profile the morphology and NF-kappaB nuclear localization (which serves as a proxy for its activation), in 17 breast cancer and two non_tumor cell lines. Cells were treated with or without TNFa for 1 h or 5 h to capture the first peak and later steady state of NF-kappaB activation.Version HistoryJuly 2017: screenA - updated some cell line names to be inline with the names used in EFO. MCF7 -> MCF-7, MCF10A ->  MCF 10A, JIMT1 -> JIMT-1, MDA-MB-157 -> MDAMB157, MDA-MB-231 -> MDAMB231, MDA-MB-453 -> MDAMB453, SUM149 -> SUM149PT, SUM159 -> SUM159PT, ZR75.1 -> ZR751.	Screen
1204	idr0020-barr-chtog/screenA	A sensitised RNAi screen reveals a ch-TOG genetic interaction network required for spindle assembly.	Cell lines carrying doxycycline inducible non-silencing (NS) shRNA or a ch-TOG specific shRNA were generated.  The siRNA screen was performed in these two backgrounds to find genes that modify the ch-TOG mitotic phenotype.	Screen
2201	idr0022-koedoot-cellmigration	Uncovering the signaling landscape controlling breast cancer cell migration identifies novel metastasis driver genes.	Triple-negative breast cancer (TNBC) is an aggressive and highly metastatic breast cancer subtype. Enhanced TNBC cell motility is a prerequisite of TNBC cell dissemination. Here, we apply an imaging-based RNAi phenotypic cell migration screen using two highly motile TNBC cell lines (Hs578T and MDA-MB-231) to provide a repository of signaling determinants that functionally drive TNBC cell motility.	Study
2151	idr0022-koedoot-cellmigration/screenA	Uncovering the signaling landscape controlling breast cancer cell migration identifies novel metastasis driver genes.	Primary RNAi screen using 4198 smartpool siRNAs to identify cell migratory regulators in Hs578T and MDA-MB-231 triple-negative breast cancer cells.	Screen
2152	idr0022-koedoot-cellmigration/screenB	Uncovering the signaling landscape controlling breast cancer cell migration identifies novel metastasis driver genes.	Validation RNAi screen using smartpool and single siRNAs to validate cell migratory regulators in Hs578T and MDA-MB-231 cells that were identified in the primary screen.	Screen
1851	idr0025-stadler-proteinatlas/screenA	Systematic validation of antibody binding and protein subcellular localization using siRNA and confocal microscopy.	Localization by immunofluorescence and confocal microscopy of 72 antibodies targeting 72 genes and validation through siRNA knock down to verify protein localization and antibody binding. 59 of the antibodies are those  described in Stadler et al 2012.Version HistoryAugust 2017 - additional phenotype to CMPO ontology mappings added	Screen
1502	idr0028-pascualvargas-rhogtpases	RNAi screens for Rho GTPase regulators of cell shape and YAP/TAZ localisation in triple negative breast cancer.	In order to metastasize triple negative breast cancer (TNBC) must make dynamic changes in cell shape. The shape of all eukaryotic cells is regulated by Rho GTP Exchange Factors (RhoGEFs), which activate Rho-family GTPases in response to mechanical and informational cues. In contrast, Rho GTPase-activating proteins (RhoGAPs) inhibit Rho GTPases. However, which RhoGEFs and RhoGAPS couple TNBC cell shape to changes in their environment is very poorly understood. Moreover, whether the activity of particular RhoGEFs and RhoGAPs become dysregulated as cells evolve the ability to metastasise is not clear. Towards the ultimate goal of identifying RhoGEFs and RhoGAPs that are essential for TNBC metastasis, we performed an RNAi screen to isolate RhoGEFs and RhoGAPs that contribute to the morphogenesis of the highly metastatic TNBC cell line LM2, and its less-metastatic parental cell line MDA-MB-231. For ~6 million cells from each cell line we measured 127 different features following the depletion of 142 genes. Using a linear classifier scheme we also describe the morphological heterogeneity of each gene-depleted population.Version HistoryJuly 2017: Replaced cell line name of MDA-MB-231 with MDAMB231 in screens C and D to be inline with EFO cell line name.	Study
1651	idr0028-pascualvargas-rhogtpases/screenA	RNAi screens for Rho GTPase regulators of cell shape and YAP/TAZ localisation in triple negative breast cancer.	Human RhoGEF/RhoGAP siGenome siRNA screen on highly metastatic triple negative breast cancer cell line LM2Version HistoryJuly 2017: Replaced cell line name of MDA-MB-231 with MDAMB231 in screens C and D to be inline with EFO cell line name.	Screen
1652	idr0028-pascualvargas-rhogtpases/screenB	RNAi screens for Rho GTPase regulators of cell shape and YAP/TAZ localisation in triple negative breast cancer.	Human RhoGEF/RhoGAP OnTargetPlus siRNA screen on highly metastatic triple negative breast cancer cell line LM2Version HistoryJuly 2017: Replaced cell line name of MDA-MB-231 with MDAMB231 in screens C and D to be inline with EFO cell line name.	Screen
1653	idr0028-pascualvargas-rhogtpases/screenC	RNAi screens for Rho GTPase regulators of cell shape and YAP/TAZ localisation in triple negative breast cancer.	Human RhoGEF/RhoGAP siGenome siRNA screen on triple negative breast cancer cell line MDA-MB-231Version HistoryJuly 2017: Replaced cell line name of MDA-MB-231 with MDAMB231 in screens C and D to be inline with EFO cell line name.	Screen
1654	idr0028-pascualvargas-rhogtpases/screenD	RNAi screens for Rho GTPase regulators of cell shape and YAP/TAZ localisation in triple negative breast cancer.	Human RhoGEF/RhoGAP OnTargetplus siRNA screen on triple negative breast cancer cell line MDA-MB-231Version HistoryJuly 2017: Replaced cell line name of MDA-MB-231 with MDAMB231 in screens C and D to be inline with EFO cell line name.	Screen
1801	idr0030-sero-yap/screenA	Multiparametric Analysis of Cell Shape Demonstrates that β-PIX Directly Couples YAP Activation to Extracellular Matrix Adhesion.	Pooled siRNA targeting human kinome and Rho family GTPases/GEFs/GAPs in MCF10A breast myoepithelial cells stained for YAP/TAZ, F-actin, CD44Version HistoryAugust 2017 - updates to phenotype ontology mappings.	Screen
1751	idr0033-rohban-pathways/screenA	Systematic morphological profiling of human gene and allele function via Cell Painting.	Morphological profiling of overexpression constructs related to the signaling pathwaysVersion HistoryAugust 2017 - CMPO ontology mappings added	Screen
1901	idr0034-kilpinen-hipsci/screenA	Common genetic variation drives molecular heterogeneity in human iPSCs.	Cellular phenotyping of 28 human induced pluripotent stem cell lines from 14 donors within the framework of the HipSci project. Cells are plated sparsely, 3000 per 96 well for 24 hours on wells coated with three diverse concentrations of Fibronectin. Note the images relating to the publication 'Common genetic variation drives molecular heterogeneity in human iPSCs' were released in May 2017.Version HistoryIn February 2019, this screen was extended and 87 human induced pluripotent stem cell lines from 62 donors were added. All data from this study is included in idr0037-vigilante-hipsci.	Screen
2001	idr0035-caie-drugresponse/screenA	High-content phenotypic profiling of drug response signatures across distinct cancer cells.	The images are of MCF-7 breast cancer cells treated for 24 h with a collection of 113 small molecules at eight concentrations. The cells were fixed, labeled for DNA, F-actin, and B-tubulin, and imaged by fluorescent microscopy as described [Caie et al. Molecular Cancer Therapeutics, 2010]. Note: The images in idr0035/screenA were generated by Caie et al, 2010 and are from MCF7 wild-type cells only.  They were obtained from the Broad BioImage Benchmark Collection image set BBBC021v1 (https://data.broadinstitute.org/bbbc/BBBC021/) submitted by Ljosa et al, 2013.  The Mechanism of Action ground truth data comes from Ljosa et al, 2013.	Screen
1952	idr0036-gustafsdottir-cellpainting/screenA	Multiplex cytological profiling assay to measure diverse cellular states.	"The images are of U2OS cells treated with each of 1600 known bioactive compounds and labeled with six labels that characterize seven organelles (the ""Cell Painting"" assay). This pilot experiment consists of 20 plates. Each plate has 384 wells and each well has 9 fields of view for a total of 69,120 fields of view. Each field was imaged in five channels (detection wavelengths), and each channel is stored as a separate, grayscale image file, so there are 345,600 image files in 16-bit TIFF format. The plates in this screen were originally included as part of idr0016/screenA but were moved to idr0036/screenA in August 2017 to make it clearer that they correspond to the Broad BioImaging Benchmark Collection dataset BBBC022 (https://www.broadinstitute.org/bbbc/BBBC022/).Version HistoryThe plates in this screen were originally included as part of idr0016/screenA but were moved to idr0036/screenA in August 2017 to make it clearer that they correspond to the Broad BioImaging Benchmark Collection BBBC022 (https://www.broadinstitute.org/bbbc/BBBC022/)."	Screen
2051	idr0037-vigilante-hipsci/screenA	Identifying Extrinsic versus Intrinsic Drivers of Variation in Cell Behavior in Human iPSC Lines from Healthy Donors.	Cellular phenotyping of 115 human induced pluripotent stem cell lines from 67 donors within the framework of the HipSci project. Cells are plated sparsely, 3000 per 96 well for 24 hours on wells coated with three diverse concentrations of Fibronectin. This screen is an extension of a previous screen and includes all data from idr0034.	Screen
2304	idr0056-stojic-lncrnas	A long noncoding RNA regulates microtubule behaviour during mitosis	Long noncoding RNAs (lncRNAs) regulate many biological processes and have been implicated in development and disease pathogenesis. The exact function for the large majority of lncRNAs is still unknown. To address whether lncRNAs could play a role in cell division, we combined a microscopy-based high-content RNAi screen with dedicated image analysis workflows to identify lncRNAs that regulate mitotic progression, chromosome segregation and cytokinesis. By targeting over 2000 lncRNAs in HeLa cells, we discovered an assortment of new lncRNAs with unexplored functions in maintenance of genome stability.	Study
2301	idr0056-stojic-lncrnas/screenA	A long noncoding RNA regulates microtubule behaviour during mitosis	Hela cells were transfected with the human Lincode small interfering RNA (siRNA) library targeting 2231 lncRNAs. Following 48 hr incubation, cells were fixed and processed for immunostaining and subsequent automated image acquisition and analysis. Antibodies targeting CEP215 (to label centrosomes), alpha-tubulin (to label the microtubule cytoskeleton), phalloidin (to label the actin cytoskeleton) and Hoechst (to label nuclei) were used.  10x 384-well plates were used.  The fixation and staining was carried out at the Institute for Cancer Research (ICR, London) using the PerkinElmer Cell:Explorer system coupled to automated liquid handling equipment. Solutions were dispensed using a Multidrop Combi Reagent dispenser (Thermo Fisher Scientific) and aspirated/washed using a Biotek washer with 96 pins. All plates were imaged using the PerkinElmer Opera high-content confocal screening platform with spinning disc. Thirty fields of view per well were captured using a 20x air objective, numerical aperture (NA) 0.45.	Screen
2302	idr0056-stojic-lncrnas/screenB	A long noncoding RNA regulates microtubule behaviour during mitosis	Hela cells were transfecetd with the human Lincode small interfering RNA (siRNA) library targeting 2231 lncRNAs. Following 48 hr incubation, cells were fixed and processed for immunostaining and subsequent automated image acquisition and analysis.  In screen B, phospho-histone H3 (PHH3; to specifically label mitotic cells), alpha-tubulin, gamma-tubulin (to label centrosomes) and Hoechst was used. 10x 384-well plates were used.  The fixation and staining for both screen A and B  was carried out at the Institute for Cancer Research (ICR, London) using the PerkinElmer Cell:Explorer system coupled to automated liquid handling equipment. Solutions were dispensed using a Multidrop Combi Reagent dispenser (Thermo Fisher Scientific) and aspirated/washed using a Biotek washer with 96 pins. All plates were imaged using the PerkinElmer Opera high-content confocal screening platform with spinning disc. Thirty fields of view per well were captured using a 20x air objective, numerical aperture (NA) 0.45.	Screen
2303	idr0056-stojic-lncrnas/screenC	A long noncoding RNA regulates microtubule behaviour during mitosis	The third-pass validation screen was performed in two replicates with four technical replicates using the top 25 candidates from each of the categories (mitotic progression, cytokinesis) using phospho-histone H3 (PHH3; to specifically label mitotic cells), alpha-tubulin (to label the microtubule cytoskeleton), gamma-tubulin (to label centrosomes) and Hoechst (DNA). Correlation coefficients between replicate plates in third screen were calculated by Spearman’s rank correlation (mitotic index = 0.967888, viability = 0.93249, multinucleation index = 0.995897, cytokinetic bridges = 0.898324).  The fixation and staining for the validation screen  was carried out at the Institute for Cancer Research (ICR, London) using the PerkinElmer Cell:Explorer system coupled to automated liquid handling equipment. Solutions were dispensed using a Multidrop Combi Reagent dispenser (Thermo Fisher Scientific) and aspirated/washed using a Biotek washer with 96 pins. All plates were imaged using the PerkinElmer Opera high-content confocal screening platform with spinning disc. Thirty fields of view per well were captured using a 20x air objective, numerical aperture (NA) 0.45.	Screen
2101	idr0061-wolf-spindlepositioning/screenA	Live imaging screen reveals that TYRO3 and GAK ensure accurate spindle positioning in human cells.	"Live imaging screen for regulators of mitotic spindle positioning, screening a library of 1200 kinases, phosphatases and associated proteins (4 siRNAs per gene), in a 96 well format. Cells were incubated 48 hours in the presence of siRNA and than transferred to micropatterned 96 well plates containing L-shaped, fibronectin coated, micropatterns, helping to stereotype cell organelle positioning. On L-shapes, mitotic DNA (metaphase plates) are positioned in a 45° angle with respect to the arms of the Ls, thereby creating a """"reference"""" phenotype. We screened for candidates whose depletion led to a significant offset from this """"reference"""" or normal position during metaphase. We used HeLa cells carrying the mCherry::H2B transgene, visualizing DNA. The L-micropatterns were coated with fibronectin containing Alexa 555, thereby Ls were visible in the same fluorescent channel. After transfer of cells to micropatterned plates, cells attached within 6 hours to the micropattern. We imaged each plate for 24 hours (framerate 8min), imaging 2 visual fields per well. Each plate contained negative and positive control wells (8 scrambles siRNA wells, 8 LGN siRNA wells). Movies were analyzed using the ImageJ based algorithm TRACMIT."	Screen
2351	idr0064-goglia-erkdynamics/screenA	A live-cell screen for altered Erk dynamics reveals principles of proliferative control	We screened a library of 429 kinase inhibitors in primary mouse keratinocytes, monitoring Erk activity over 5 h in more than 80,000 single live cells.	Screen
2251	idr0069-caldera-perturbome/screenA	Mapping the perturbome network of cellular perturbations	We used high-content screening and image analysis to measure the effect of 267 well described drugs as well as all possible 35,511 pairwise combinations. We applied a novel mathematical framework that uses the complex high-dimensional morphological space of drug induced phenotypes, to detect 1832 interactions between two drug perturbations. In contrast to previous methodologies our novel framework not only detects the type of interaction (e.g. positive/negative) but also its directionality. Subsequent analysis of the chemical and biological features of the drug compounds reveals distinct molecular fingerprints for each interaction type.	Screen
2951	idr0072-schormann-subcellref	A reference library for assigning protein subcellular localizations by image-based machine learning	Libraries composed of 789,011 and 523,319 optically validated reference confocal micrographs of 17 and 20 EGFP fusion proteins localized at key cell organelles as landmarks in murine and human cells were generated for assignment of subcellular localization in mammalian cells. For each image of individual cells, 160 morphology and statistical features were used to train a random forests classifier to automatically assign the localization of proteins and dyes in both cell types and to analyze the sequence requirements that specify subcellular localization of a model tail-anchor (TA) protein. Automated assignment of subcellular localizations for a library of TA proteins with randomly mutated C-terminal targeting sequences enabled the discovery of motifs responsible for targeting TA proteins to mitochondria, endoplasmic reticulum and the late secretory pathway. Analysis of directed mutants enabled refinement of subcellular localization motifs that characterize cellular sub-compartments.	Study
2952	idr0072-schormann-subcellref/screenA	A reference library for assigning protein subcellular localizations by image-based machine learning	EGFP fusion proteins of organelle marker proteins were stably expressed in eukaryotic cells MCF10A.	Screen
2953	idr0072-schormann-subcellref/screenB	A reference library for assigning protein subcellular localizations by image-based machine learning	EGFP fusion proteins of organelle marker proteins were stably expressed in eukaryotic cells NMuMG.	Screen
2551	idr0078-mattiazziusaj-endocyticcomp	Systematic genetics and single-cell imaging reveal widespread morphological pleiotropy and cell-to-cell variability	Our ability to understand the genotype-to-phenotype relationship is hindered by the lack of detailed understanding of phenotypes at a single-cell level. To systematically assess cell-to-cell phenotypic variability, we combined automated yeast genetics, high-content screening and neural network-based image analysis of single cells, focussing on genes that influence the architecture of four subcellular compartments of the endocytic pathway as a model system. Our unbiased assessment of the morphology of these compartments — endocytic patch, actin patch, late endosome and vacuole — identified 17 distinct mutant phenotypes associated with ~1,600 genes (~30% of all yeast genes). Approximately half of these mutants exhibited multiple phenotypes, highlighting the extent of morphological pleiotropy. Quantitative analysis also revealed that incomplete penetrance was prevalent, with the majority of mutants exhibiting substantial variability in phenotype at the single-cell level. Our single-cell analysis enabled exploration of factors that contribute to incomplete penetrance and cellular heterogeneity, including replicative age, organelle inheritance and response to stress.	Study
2501	idr0078-mattiazziusaj-endocyticcomp/screenA	Systematic genetics and single-cell imaging reveal widespread morphological pleiotropy and cell-to-cell variability	primary screens (genome wide)	Screen
2502	idr0078-mattiazziusaj-endocyticcomp/screenB	Systematic genetics and single-cell imaging reveal widespread morphological pleiotropy and cell-to-cell variability	secondary screens (mini-array)	Screen
2701	idr0080-way-perturbation/screenA	Predicting cell health phenotypes using image-based morphology profiling	CRISPR perturbations targeting 59 genes	Screen
2406	idr0081-georgi-adenovirus	High-content image-based drug screen identifies a clinical compound against cell transmission of adenovirus	Human adenoviruses (HAdVs) are fatal to immune-suppressed people, but no effective anti-HAdV therapy is available. Here, we present a novel image-based high-throughput screening (HTS) platform, which scores the full viral replication cycle from virus entry to dissemination of progeny. We analysed 1,280 small molecular compounds of the Prestwick Chemical Library (PCL) for interference with HAdV-C2 infection in a quadruplicate blinded format, followed by robust image analyses, and hit identification. We identified Nelfinavir mesylate as an inhibitor of HAdV plaque formation, in agreement with the previous notion that Nelfinavir is ineffective in single round HAdV infection assays. Nelfinavir has been FDA-approved for anti-retroviral therapy in humans. Our results underscore the power of image-based multi-round infection assays in identifying viral inhibitors with clinical potential.	Study
2401	idr0081-georgi-adenovirus/screenA	High-content image-based drug screen identifies a clinical compound against cell transmission of adenovirus	Human adenovirus infected quality control plates consisting solely on the solvent control DMSO to confirm assay stability prior to Z' plates (preZ) and screen (preScreen).	Screen
2402	idr0081-georgi-adenovirus/screenB	High-content image-based drug screen identifies a clinical compound against cell transmission of adenovirus	Human adenovirus infected Z' plates in biological duplicates consisting of 192 technical replicates of the solvent control DMSO and positive control DFT to confirm assay quality.	Screen
2403	idr0081-georgi-adenovirus/screenC	High-content image-based drug screen identifies a clinical compound against cell transmission of adenovirus	Human adenovirus infected Z' plates in biological duplicates consisting of 192 technical replicates of the solvent control DMSO and positive control DFT to confirm assay quality.	Screen
2404	idr0081-georgi-adenovirus/screenD	High-content image-based drug screen identifies a clinical compound against cell transmission of adenovirus	Primary image-based screen of 1,278 mostly FDA-approved, off-patent small molecules, collected in the Prestwick Chemical Library for inhibitors of Human adenovirus infection	Screen
2405	idr0081-georgi-adenovirus/screenE	High-content image-based drug screen identifies a clinical compound against cell transmission of adenovirus	Primary image-based screen of 1,278 mostly FDA-approved, off-patent small molecules, collected in the Prestwick Chemical Library for inhibitors of Human adenovirus infection	Screen
2651	idr0088-cox-phenomicprofiling/screenA	Tales of 1,008 Small Molecules: Phenomic Profiling through Live-cell Imaging in a Panel of Reporter Cell Lines	We screened a library of 1,008 approved drugs and well-characterized tool compounds manually annotated to 218 unique mechanisms-of-action (MoA) and 169 natural products at four concentrations with four replicates each in live-cell, high-content imaging screens against a panel of 15 reporter cell lines, which expressed a diverse set of fluorescent organelle and pathway markers in three distinct cell lineages. Each reporter cell line carried a BFP segmentation cassette that enabled detection of the nuclear and cell boundaries. In addition, each reporter cell line expressed a GFP- and a RFP/FusionRed-tagged organelle or pathway marker from its endogenous chromosomal locus. These markers were selected to cover a broad array of organelles, cellular structures and regulatory pathways for the generation of information-rich image-based compound descriptors.	Screen
2851	idr0090-ashdown-malaria/screenA	A machine learning approach to define antimalarial drug action from heterogeneous cell-based screens	High-content imaging of P. falciparum in red blood cells over multiple weeks under both control and drug-treatment conditions.	Screen
2451	idr0092-ostrop-organoid/screenA	A semi-automated organoid screening method demonstrates epigenetic control of intestinal epithelial differentiation	"To study the role of epigenetic regulatory enzymes in the intestinal epithelium, small intestinal organoids were treated with a library of highly specific inhibitors of epigenetic modifiers provided by the Structural Genomics Consortium (SGC). Small intestinal organoids derived from four individual C57BL/6J mice were passaged by rigourous pipetting to nearly single cells at 1:4 ratio and seeded in 40µl Matrigel droplets/well in pre-warmed 24-well plates. 250µl/well basal organoid culture medium containing EGF, Noggin, and R-Spondin-1 (""ENR"") was added immediately after Matrigel solidification. 250µl/well ENR + probes from the SGC Epigenetics Probes library at 2x working concentration were added within 30min. For each biological replicate DMSO vehicle controls were carried out in quadruplicates and valproic acid (VPA) was included as positive control. Media was replaced after 48h. Organoid bright-field image stacks were acquired 0h, 24h, 48h, 72h, 96h after seeding on an EVOS2 microscope (Thermo Fisher Scientific)."	Screen
2751	idr0093-mueller-perturbation/screenA	High content genome-wide siRNA screen to investigate the coordination of cell size and RNA production	Genome-wide siRNA screen to investigate the coordination of cell size and RNA production.	Screen
